{'nodes': 10, 'beta-norm': 10, 'epochs': 50, 'train-mse': 455.34613037109375, 'train-mse-bal': 76.55535888671875, 'majority-mse': 444.8435363769531, 'minority-mse': 431.0050354003906, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 232.08541870117188, 'train-mse-bal': 41.168697357177734, 'majority-mse': 220.35548400878906, 'minority-mse': 233.2501220703125, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 50, 'train-mse': 269.4639587402344, 'train-mse-bal': 46.78708267211914, 'majority-mse': 271.4573974609375, 'minority-mse': 284.09857177734375, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 30.638858795166016, 'train-mse-bal': 4.779088020324707, 'majority-mse': 29.508020401000977, 'minority-mse': 27.18056297302246, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 50, 'train-mse': 152.64569091796875, 'train-mse-bal': 25.608413696289062, 'majority-mse': 149.28265380859375, 'minority-mse': 145.85025024414062, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 5.252285957336426, 'train-mse-bal': 0.8830658197402954, 'majority-mse': 5.40170955657959, 'minority-mse': 9.324115753173828, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 50, 'train-mse': 20.643842697143555, 'train-mse-bal': 3.6548900604248047, 'majority-mse': 20.146162033081055, 'minority-mse': 23.327335357666016, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 2.5949923992156982, 'train-mse-bal': 0.39471086859703064, 'majority-mse': 3.4249489307403564, 'minority-mse': 11.153239250183105, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.945372104644775, 'train-mse-bal': 0.9098276495933533, 'majority-mse': 5.065670013427734, 'minority-mse': 5.922339916229248, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.9256606698036194, 'train-mse-bal': 0.11856021732091904, 'majority-mse': 2.454606056213379, 'minority-mse': 15.231795310974121, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.4311676025390625, 'train-mse-bal': 0.8246763348579407, 'majority-mse': 4.444775104522705, 'minority-mse': 6.0693769454956055, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.1342187225818634, 'train-mse-bal': 0.021998543292284012, 'majority-mse': 1.7239359617233276, 'minority-mse': 16.41769790649414, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 50, 'train-mse': 387.9100341796875, 'train-mse-bal': 70.59376525878906, 'majority-mse': 385.3069152832031, 'minority-mse': 415.7892761230469, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 347.2361755371094, 'train-mse-bal': 62.43870162963867, 'majority-mse': 346.57427978515625, 'minority-mse': 366.7689208984375, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 50, 'train-mse': 318.0802917480469, 'train-mse-bal': 57.46565246582031, 'majority-mse': 317.62237548828125, 'minority-mse': 331.6623840332031, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 30.06747817993164, 'train-mse-bal': 5.379897117614746, 'majority-mse': 30.436317443847656, 'minority-mse': 38.24150466918945, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 50, 'train-mse': 143.6488037109375, 'train-mse-bal': 25.807212829589844, 'majority-mse': 149.439208984375, 'minority-mse': 155.435546875, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 5.521827220916748, 'train-mse-bal': 0.8879250884056091, 'majority-mse': 7.022775173187256, 'minority-mse': 8.693394660949707, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 50, 'train-mse': 18.761932373046875, 'train-mse-bal': 3.3890020847320557, 'majority-mse': 20.487585067749023, 'minority-mse': 21.198843002319336, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 2.8963961601257324, 'train-mse-bal': 0.4300451874732971, 'majority-mse': 4.373673439025879, 'minority-mse': 9.96609115600586, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 50, 'train-mse': 5.324306964874268, 'train-mse-bal': 0.9410568475723267, 'majority-mse': 6.144410610198975, 'minority-mse': 5.284170627593994, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 1.0956380367279053, 'train-mse-bal': 0.14153984189033508, 'majority-mse': 2.991443157196045, 'minority-mse': 13.172918319702148, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.80400276184082, 'train-mse-bal': 0.8563740849494934, 'majority-mse': 5.443352222442627, 'minority-mse': 5.359248638153076, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.1903945654630661, 'train-mse-bal': 0.02935052663087845, 'majority-mse': 2.1559696197509766, 'minority-mse': 14.624259948730469, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 50, 'train-mse': 8.060190200805664, 'train-mse-bal': 1.3008581399917603, 'majority-mse': 7.993284225463867, 'minority-mse': 8.008049011230469, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 6.430320739746094, 'train-mse-bal': 1.3380941152572632, 'majority-mse': 6.260307788848877, 'minority-mse': 10.617053031921387, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.7935709953308105, 'train-mse-bal': 0.8605780005455017, 'majority-mse': 4.6870527267456055, 'minority-mse': 6.187914848327637, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 4.158408164978027, 'train-mse-bal': 0.7930558323860168, 'majority-mse': 4.2122883796691895, 'minority-mse': 7.275076866149902, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.9634737968444824, 'train-mse-bal': 0.7614922523498535, 'majority-mse': 3.967865228652954, 'minority-mse': 6.502255916595459, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 3.2664501667022705, 'train-mse-bal': 0.5857534408569336, 'majority-mse': 3.730081081390381, 'minority-mse': 9.182769775390625, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.6821253299713135, 'train-mse-bal': 0.7165241837501526, 'majority-mse': 3.674274444580078, 'minority-mse': 6.90899658203125, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 2.1237688064575195, 'train-mse-bal': 0.3379361927509308, 'majority-mse': 2.9419779777526855, 'minority-mse': 12.330522537231445, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 50, 'train-mse': 3.646653652191162, 'train-mse-bal': 0.6926976442337036, 'majority-mse': 3.6634960174560547, 'minority-mse': 7.347391605377197, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 0.8790703415870667, 'train-mse-bal': 0.11646532267332077, 'majority-mse': 2.2032856941223145, 'minority-mse': 14.609579086303711, 'trainable': 'last-layer'}
