{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.191346645355225, 'train-mse-bal': 0.9386992454528809, 'majority-mse': 4.864309787750244, 'minority-mse': 5.304030418395996, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 5.385433673858643, 'train-mse-bal': 0.9393894076347351, 'majority-mse': 5.141884803771973, 'minority-mse': 5.105838298797607, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 5.208523273468018, 'train-mse-bal': 0.9167338609695435, 'majority-mse': 4.9829421043396, 'minority-mse': 5.221499919891357, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.922544956207275, 'train-mse-bal': 0.8763921856880188, 'majority-mse': 4.83302116394043, 'minority-mse': 5.994993686676025, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.994482040405273, 'train-mse-bal': 0.8737698793411255, 'majority-mse': 4.7812957763671875, 'minority-mse': 5.508210182189941, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.267590522766113, 'train-mse-bal': 0.7281010746955872, 'majority-mse': 4.5594801902771, 'minority-mse': 7.993414402008057, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.754610061645508, 'train-mse-bal': 0.8281736373901367, 'majority-mse': 4.641434669494629, 'minority-mse': 6.029084205627441, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 2.9205453395843506, 'train-mse-bal': 0.4579252600669861, 'majority-mse': 3.6723945140838623, 'minority-mse': 10.536492347717285, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.6260762214660645, 'train-mse-bal': 0.8079969882965088, 'majority-mse': 4.587441921234131, 'minority-mse': 6.40692138671875, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.0509588718414307, 'train-mse-bal': 0.13935145735740662, 'majority-mse': 2.4592790603637695, 'minority-mse': 16.00786018371582, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.687239170074463, 'train-mse-bal': 0.7889686822891235, 'majority-mse': 4.764862537384033, 'minority-mse': 6.651900768280029, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.17508237063884735, 'train-mse-bal': 0.027951247990131378, 'majority-mse': 1.648195505142212, 'minority-mse': 17.841432571411133, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 0.8742096424102783, 'train-mse-bal': 0.3672321140766144, 'majority-mse': 0.5790594816207886, 'minority-mse': 3.9822726249694824, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.0751627683639526, 'train-mse-bal': 0.2856481969356537, 'majority-mse': 1.0819919109344482, 'minority-mse': 2.8762168884277344, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.169332504272461, 'train-mse-bal': 0.23618626594543457, 'majority-mse': 1.2205337285995483, 'minority-mse': 1.8423314094543457, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 1.1831873655319214, 'train-mse-bal': 0.22638565301895142, 'majority-mse': 1.3694915771484375, 'minority-mse': 1.7640632390975952, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.1571234464645386, 'train-mse-bal': 0.20508891344070435, 'majority-mse': 1.331641674041748, 'minority-mse': 1.5795025825500488, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.9780476689338684, 'train-mse-bal': 0.16439256072044373, 'majority-mse': 1.317286491394043, 'minority-mse': 2.335148572921753, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.0922099351882935, 'train-mse-bal': 0.19271744787693024, 'majority-mse': 1.3130249977111816, 'minority-mse': 1.6991573572158813, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 640, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.5384709239006042, 'train-mse-bal': 0.07149180769920349, 'majority-mse': 0.9835999011993408, 'minority-mse': 3.7127575874328613, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.037144422531128, 'train-mse-bal': 0.1828746646642685, 'majority-mse': 1.2944175004959106, 'minority-mse': 1.8996853828430176, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 2560, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.15386666357517242, 'train-mse-bal': 0.01824055053293705, 'majority-mse': 0.6721386909484863, 'minority-mse': 4.532454967498779, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 1.038010835647583, 'train-mse-bal': 0.1833023577928543, 'majority-mse': 1.3605531454086304, 'minority-mse': 2.1888368129730225, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10240, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 0.01122131384909153, 'train-mse-bal': 0.0037596523761749268, 'majority-mse': 0.3289034962654114, 'minority-mse': 4.704683303833008, 'trainable': 'last-layer', 'setup': 'different-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.749872207641602, 'train-mse-bal': 0.8568503856658936, 'majority-mse': 4.999814510345459, 'minority-mse': 5.8846845626831055, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 10, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.52005672454834, 'train-mse-bal': 0.8352105617523193, 'majority-mse': 4.848893165588379, 'minority-mse': 6.183479309082031, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.74205207824707, 'train-mse-bal': 0.8395856022834778, 'majority-mse': 5.0777411460876465, 'minority-mse': 5.886288642883301, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 40, 'beta-norm': 0.1, 'epochs': 5000, 'train-mse': 4.512693405151367, 'train-mse-bal': 0.8089717626571655, 'majority-mse': 4.963766098022461, 'minority-mse': 6.459918022155762, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
{'nodes': 160, 'beta-norm': 0.1, 'epochs': 50, 'train-mse': 4.425504207611084, 'train-mse-bal': 0.8078543543815613, 'majority-mse': 4.751363277435303, 'minority-mse': 6.254354953765869, 'trainable': 'last-layer', 'setup': 'same-core-over-envs'}
